X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,weather,sci,comm,nav,misc
1998-071A,25560,M*B,SWAS,US,1998-12-06,WRAS,NA,96.4,69.9,593,579,1.8056,,0,1,0,0,0
1999-004A,25621,*+,GLOBALSTAR M023,GLO,1999-02-09,TYMSC,NA,114.1,52,1421,1406,1.8713,,0,0,1,0,0
1999-006A,25630,*+,JCSAT-4A,JPN,1999-02-16,AFETR,NA,1436.1,4.1,35801,35772,31.6228,,0,0,1,0,0
1999-008B,25635,*+,ORSTED,DEN,1999-02-23,AFWTR,NA,99.4,96.5,831,632,0.3070,,0,1,1,0,0
1999-009B,25639,*+,SKYNET 4E,UK,1999-02-26,FRGUI,NA,1436.1,10.7,35800,35773,5.2477,,0,0,1,0,0
1999-012D,25652,*+,GLOBALSTAR M037,GLO,1999-03-15,TYMSC,NA,114.1,52,1414,1412,2.0013,,0,0,1,0,0
1999-013A,25657,*+,ASIASAT 3S,AC,1999-03-21,TYMSC,NA,1436.1,4.3,35798,35775,25.1189,,0,0,1,0,0
1999-020A,25682,*P,LANDSAT 7,US,1999-04-15,AFWTR,NA,98.8,98.1,703,702,4.5153,,1,0,0,0,0
1999-027A,25740,*+,NIMIQ 1,CA,1999-05-20,TYMSC,NA,1436.1,0.5,35809,35765,231.1490,,0,0,1,0,0
1999-029B,25757,*+,DLR-TUBSAT,GER,1999-05-26,SRILR,NA,99.2,98.4,731,711,0.2619,,1,0,0,0,0
1999-033A,25785,*+,ASTRA 1H,SES,1999-06-18,TYMSC,NA,1451.7,5.5,36115,36065,201.5215,,0,0,1,0,0
1999-040B,25867,*+,CXO,US,1999-07-23,AFETR,NA,3809.2,66.2,133990,14841,8.3048,,0,1,0,0,0
1999-046A,25894,M*+,ABS-7,ABS,1999-09-04,FRGUI,NA,1436.1,0.4,35801,35772,31.6228,,0,0,1,0,0
1999-053A,25924,M*+,ABS-6,ABS,1999-09-26,TYMSC,NA,1436,0,35794,35776,39.8107,,0,0,1,0,0
1999-055A,25933,M*+,NAVSTAR 46 (USA 145),US,1999-10-07,AFETR,NA,718,52.2,20617,19749,3.9810,,0,0,0,1,0
1999-059A,25949,*+,TELSTAR 12 (ORION 2),US,1999-10-19,FRGUI,NA,1436.1,2.8,35807,35766,30.1307,,0,0,1,0,0
1999-060A,25954,*+,AMC-4 (GE-4),SES,1999-11-13,FRGUI,NA,1436.2,0,35800,35777,19.3275,,0,0,1,0,0
1999-063A,25967,*+,UFO 10 (USA 146),US,1999-11-23,AFETR,NA,1436,7.6,35795,35774,0.5186,,0,0,1,0,0
1999-065A,25980,M*+,ORBCOMM FM30,ORB,1999-12-04,ERAS,NA,100.5,45,787,778,0.5856,,0,0,1,0,0
1999-065B,25981,M*+,ORBCOMM FM31,ORB,1999-12-04,ERAS,NA,100.5,45,785,780,0.5580,,0,0,1,0,0
1999-065C,25982,M*+,ORBCOMM FM32,ORB,1999-12-04,ERAS,NA,100.6,45,789,781,0.8489,,0,0,1,0,0
1999-065D,25983,M*P,ORBCOMM FM33,ORB,1999-12-04,ERAS,NA,100.3,45,782,768,0.7299,,0,0,1,0,0
1999-065E,25984,M*+,ORBCOMM FM36,ORB,1999-12-04,ERAS,NA,100.5,45,785,780,0.5581,,0,0,1,0,0
1999-065F,25985,M*+,ORBCOMM FM35,ORB,1999-12-04,ERAS,NA,100.5,45,784,780,0.5640,,0,0,1,0,0
1999-066A,25989,*+,XMM-NEWTON,ESA,1999-12-10,FRGUI,NA,2872.3,71.1,110519,10593,10.0237,,0,1,0,0,0
1999-067A,25991,*B,DMSP 5D-3 F15 (USA 147),US,1999-12-12,AFWTR,NA,101.7,98.9,845,829,3.9811,,1,0,0,0,0
1999-068A,25994,*+,TERRA,US,1999-12-18,AFWTR,NA,98.8,98.2,704,701,12.4440,,1,1,0,0,0
1999-070C,26034,*+,CELESTIS-03 & TAURUS R/,US,1999-12-21,AFWTR,NA,95.4,98.2,547,529,1.1892,,0,0,0,0,1
1999-071A,26038,*+,GALAXY 11 (G-11),US,1999-12-22,FRGUI,NA,1436.1,0.7,35793,35781,248.6225,,0,0,1,0,0
2000-001A,26052,M*+,USA 148,US,2000-01-21,AFETR,NA,1436,8,35786,35784,N/A,,0,0,1,0,0
2000-008A,26081,*+,GLOBALSTAR M063,GLO,2000-02-08,AFETR,NA,121.4,52,1747,1740,2.4049,,0,0,1,0,0
2000-014A,26102,*+,MTI,US,2000-03-12,AFWTR,NA,92.7,97.5,412,399,3.2225,,0,0,0,0,1
2000-016A,26107,*+,ASIASTAR,US,2000-03-21,FRGUI,NA,1436.1,3.5,35804,35768,25.1188,,0,0,1,0,0
2000-017A,26113,M*P,IMAGE,US,2000-03-25,AFWTR,NA,853.8,94.5,45563,1307,2.3950,,0,0,0,0,0
2000-024A,26356,*+,USA 149 (DSP 20),US,2000-05-08,AFETR,NA,1436.1,11.4,35795,35778,N/A,,0,0,1,0,0
2000-025A,26360,M*+,NAVSTAR 47 (USA 150),US,2000-05-11,AFETR,NA,718,53.4,20310,20053,2.5119,,0,0,0,1,0
2000-028A,26369,M*+,EUTELSAT 80A,EUT,2000-05-24,AFETR,NA,1436.1,2.8,35805,35767,10.0331,,0,0,1,0,0
2000-034A,26388,*+,TDRS 8,US,2000-06-30,AFETR,NA,1436,8.9,35834,35737,26.7660,,1,0,1,0,0
2000-040A,26407,M*+,NAVSTAR 48 (USA 151),US,2000-07-16,AFETR,NA,718,56.2,20696,19669,5.2400,,0,0,0,1,0
2000-041A,26410,M*+,CLUSTER II-FM7 (SAMBA),ESA,2000-07-16,TYMSC,NA,3257.3,131.4,96915,35907,1.9953,,0,1,0,0,0
2000-041B,26411,M*+,CLUSTER II-FM6 (SALSA),ESA,2000-07-16,TYMSC,NA,3256.3,131,105079,27711,1.5849,,0,1,0,0,0
2000-043A,26451,M*+,INTELSAT 9 (IS-9),US,2000-07-28,SEAL,NA,1439,5.2,35858,35827,36.1908,,0,0,1,0,0
2000-045A,26463,M*+,CLUSTER II-FM5 (RUMBA),ESA,2000-08-09,TYMSC,NA,3250.1,134.6,102303,30305,1.9953,,0,1,0,0,0
2000-045B,26464,M*+,CLUSTER II-FM8 (TANGO),ESA,2000-08-09,TYMSC,NA,3256.5,131.4,96891,35906,1.5887,,0,1,0,0,0
2000-046A,26469,*+,BRASILSAT B4,BRA,2000-08-17,FRGUI,NA,1436.1,3.5,35799,35774,7.6628,,0,0,1,0,0
2000-054A,26494,*+,ASTRA 2B,SES,2000-09-14,FRGUI,NA,1436.1,4,35809,35766,17.0000,,0,0,1,0,0
2000-054B,26495,*+,AMC-7 (GE-7),SES,2000-09-14,FRGUI,NA,1436.1,0.8,35799,35774,25.1188,,0,0,1,0,0
2000-059A,26554,M*+,NSS-11 (AAP-1),SES,2000-10-01,TYMSC,NA,1436.1,0.1,35799,35774,19.9526,,0,0,1,0,0
2000-065A,26575,M*+,USA 153,US,2000-10-20,AFETR,NA,1436.1,7.5,35794,35779,N/A,,0,0,1,0,0
2000-067A,26580,*+,AMC-6 (GE-6),SES,2000-10-21,TYMSC,NA,1436.1,0.1,35797,35775,13.6109,,0,0,1,0,0
2000-068A,26590,M*+,INTELSAT 12 (IS-12),ITS,2000-10-29,FRGUI,NA,1436.1,2.4,35805,35769,20.8550,,0,0,1,0,0
2000-071A,26605,M*+,NAVSTAR 49 (USA 154),US,2000-11-10,AFETR,NA,718,55,20475,19892,2.6007,,0,0,0,1,0
2000-072A,26608,M*+,INTELSAT 1R (IS-1R),US,2000-11-16,FRGUI,NA,1436.1,2.1,35791,35782,25.1189,,0,0,1,0,0
2000-076A,26624,*+,ANIK F1,CA,2000-11-21,FRGUI,NA,1436.1,0,35797,35777,37.6445,,0,0,1,0,0
2000-081A,26638,*+,ASTRA 2D,SES,2000-12-20,FRGUI,NA,1436.1,5.3,35794,35780,0.6797,,0,0,1,0,0
2000-081B,26639,*+,AMC-8 (GE-8),SES,2000-12-20,FRGUI,NA,1436.1,0.1,35797,35776,25.1189,,0,0,1,0,0
2001-004A,26690,M*B,NAVSTAR 50 (USA 156),US,2001-01-30,AFETR,NA,751.6,53.3,21007,21002,2.5119,,0,0,0,0,0
2001-007A,26702,*+,ODIN,SWE,2001-02-20,SVOBO,NA,95.5,97.6,551,535,1.1550,,0,1,0,0,0
2001-009A,26715,*+,USA 157 (MILSTAR-2 2),US,2001-02-27,AFETR,NA,1436,9.1,35792,35778,N/A,,0,0,1,0,0
2001-011A,26719,M*+,EUTELSAT 33C,EUT,2001-03-08,FRGUI,NA,1436.1,1.4,35809,35765,12.5012,,0,0,1,0,0
2001-011B,26720,*P,BSAT-2A,JPN,2001-03-08,FRGUI,NA,1451.9,5.6,36116,36074,15.8866,,0,0,0,0,0
2001-019A,26766,M*+,INTELSAT 10 (IS-10),US,2001-05-15,TYMSC,NA,1436.1,3.3,35793,35779,79.4328,,0,0,1,0,0
2001-024A,26824,*+,INTELSAT 901 (IS-901),ITS,2001-06-09,FRGUI,NA,1436.1,1.3,35792,35781,15.9919,,0,0,1,0,0
2001-025A,26853,*+,ASTRA 2C,SES,2001-06-16,TYMSC,NA,1436.1,2.3,35800,35773,4.4668,,0,0,1,0,0
2001-026A,26857,*P,ICO F2,NIC,2001-06-19,AFETR,NA,367,44.9,10631,10571,33.1830,,0,0,0,0,0
2001-033A,26880,*+,USA 159 (DSP 21),US,2001-08-06,AFETR,NA,1436,10.5,35787,35783,N/A,,0,0,1,0,0
2001-039A,26900,*+,INTELSAT 902 (IS-902),ITS,2001-08-30,FRGUI,NA,1436.1,0.1,35790,35783,14.1589,,0,0,1,0,0
2001-042A,26927,M*+,EUTELSAT 12 WEST B,EUT,2001-09-25,FRGUI,NA,1436.1,0.5,35808,35765,14.2528,,0,0,1,0,0
2001-043C,26931,*P,PCSAT (NO-44),US,2001-09-30,KODAK,NA,100.7,67.1,795,785,0.1788,,0,0,1,0,0
2001-049B,26958,*+,PROBA-1,ESA,2001-10-22,SRILR,NA,96.3,97.7,632,531,N/A,,0,1,0,0,0
2001-049C,26959,*+,BIRD 2,GER,2001-10-22,SRILR,NA,93.7,97.9,460,450,0.4219,,0,1,0,0,0
2001-052A,26985,*+,DIRECTV 4S,US,2001-11-27,FRGUI,NA,1429.4,0.1,35679,35633,16.0775,,0,0,1,0,0
2001-055B,26998,M*+,TIMED,US,2001-12-07,AFWTR,NA,96.8,74.1,605,602,2.7177,,1,1,0,0,0
2001-056D,27004,*+,MAROC-TUBSAT,GER,2001-12-10,TYMSC,NA,105.1,99.5,1013,985,0.3490,,1,0,0,0,0
2001-058B,27056,*+,COSMOS 2385,CIS,2001-12-28,PLMSC,NA,114.2,82.5,1425,1417,0.8418,,0,0,0,0,0
2001-058C,27057,*+,COSMOS 2386,CIS,2001-12-28,PLMSC,NA,114.1,82.6,1418,1415,0.9025,,0,0,0,0,0
2002-001A,27168,*+,USA 164 (MILSTAR-2 3),US,2002-01-14,AFETR,NA,1436.1,8.5,35797,35774,N/A,,0,0,1,0,0
2002-004A,27370,M*+,RHESSI,US,2002-02-05,ERAS,NA,94,38,478,462,2.4653,,0,1,0,0,0
2002-006A,27378,*+,ECHOSTAR 7,US,2002-02-21,AFETR,NA,1436.1,0.1,35794,35780,20.0000,,0,0,1,0,0
2002-007A,27380,*+,INTELSAT 904 (IS-904),ITS,2002-02-23,FRGUI,NA,1436.1,0.9,35799,35775,23.7928,,0,0,1,0,0
2002-011A,27389,*+,TDRS 9,US,2002-03-08,AFETR,NA,1436.1,7,35871,35702,11.5324,,1,0,1,0,0
2002-015A,27399,*+,JCSAT 2A,JPN,2002-03-29,FRGUI,NA,1436.1,2.3,35817,35757,25.1785,,0,0,1,0,0
2002-015B,27400,*+,ASTRA 3A,SES,2002-03-29,FRGUI,NA,1436.1,5.4,35800,35773,15.8865,,0,0,1,0,0
2002-016A,27403,*+,INTELSAT 903 (IS-903),ITS,2002-03-30,TYMSC,NA,1436.1,1.7,35794,35779,28.7458,,0,0,1,0,0
2002-019A,27414,*+,NSS-7,SES,2002-04-16,FRGUI,NA,1436.1,3.7,35797,35777,13.9810,,0,0,1,0,0
2002-022A,27424,*+,AQUA,US,2002-05-04,AFWTR,NA,98.8,98.2,704,701,7.8419,,1,0,0,0,0
2002-023A,27426,*+,DIRECTV 5 (TEMPO 1),US,2002-05-07,TYMSC,NA,1436.1,0,35801,35773,12.5892,,0,0,1,0,0
2002-027A,27438,*+,INTELSAT 905 (IS-905),ITS,2002-06-05,FRGUI,NA,1436.1,0.7,35799,35775,15.8865,,0,0,1,0,0
2002-029A,27441,*+,EXPRESS-A4,CIS,2002-06-10,TYMSC,NA,1436.1,7.5,35859,35714,32.1887,,0,0,1,0,0
2002-030A,27445,*+,GALAXY 3C (G-3C),US,2002-06-15,SEAL,NA,1436.1,0,35792,35782,33.4954,,0,0,1,0,0
2002-031A,27450,*B,IRIDIUM 97,US,2002-06-20,PLMSC,NA,100.1,86.4,765,762,3.0423,,0,0,1,0,0
2002-035A,27460,M*+,EUTELSAT 5 WEST A,EUT,2002-07-05,FRGUI,NA,1436.1,0.1,35809,35764,46.1203,,0,0,1,0,0
2002-035B,27461,*+,N-STAR C,JPN,2002-07-05,FRGUI,NA,1436.1,6.2,35795,35779,12.5892,,0,0,1,0,0
2002-036A,27464,*+,COSMOS 2390,CIS,2002-07-08,PLMSC,NA,115.7,82.5,1507,1468,0.8841,,0,0,0,0,0
2002-036B,27465,*+,COSMOS 2391,CIS,2002-07-08,PLMSC,NA,115.7,82.5,1507,1465,0.8826,,0,0,0,0,0
2002-040B,27509,*+,METEOSAT-8 (MSG-1),EUM,2002-08-28,FRGUI,NA,1436.1,6.3,35789,35784,2.7114,,1,0,1,0,0
2002-041A,27513,*+,INTELSAT 906 (IS-906),ITS,2002-09-06,FRGUI,NA,1436.1,0,35796,35778,22.2955,,0,0,1,0,0
2002-044A,27528,*+,HISPASAT 30W-4,SPN,2002-09-18,AFETR,NA,1436.1,0.5,35815,35758,17.8442,,0,0,1,0,0
2002-048A,27540,*+,INTEGRAL,ESA,2002-10-17,TYMSC,NA,3829.3,50.7,146405,2997,6.3095,,0,1,0,0,0
2002-055A,27566,*+,TDRS 10,US,2002-12-05,AFETR,NA,1436.1,6.5,35803,35771,5.6234,,1,0,1,0,0
2002-057A,27603,*+,NSS-6,SES,2002-12-17,FRGUI,NA,1436.1,0.1,35813,35759,20.8608,,0,0,1,0,0
2002-058B,27606,*+,LATINSAT B,ARG,2002-12-20,TYMSC,NA,97.8,64.6,715,593,0.0250,,0,0,0,0,0
2002-058C,27607,*+,SAUDISAT 1C (SO-50),SAU,2002-12-20,TYMSC,NA,97.6,64.6,696,591,0.0905,,0,1,1,0,0
2002-058H,27612,*+,LATINSAT A,ARG,2002-12-20,TYMSC,NA,97.3,64.6,664,598,0.0330,,0,0,0,0,0
2002-062A,27632,*+,NIMIQ 2,CA,2002-12-29,TYMSC,NA,1436,3.8,35819,35751,111.2871,,0,0,1,0,0
2003-001A,27640,*+,CORIOLIS,US,2003-01-06,AFWTR,NA,101.5,98.7,839,818,5.0821,,0,1,0,0,0
2003-004A,27651,M*+,SORCE,US,2003-01-25,ERAS,NA,96.7,40,617,585,1.7809,,1,1,0,0,0
